id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
1102,45,Turquoise,Male,Zombie,None,Backwards Hat,Hat,Blonde,Dirty Tee,Pink Choker,Wizard Pipe,Steampunk Shades,Handlebars
1103,4655,Pine,Male,Shade 4,None,None,Crew Cut,Brown,Button up,None,None,None,None
1104,4205,Light Purple,Female,Shade 7,None,None,Shoulder Length,Black,Zip Up Hoodie,None,None,None,None
1105,3010,Mauve,Female,Shade 5,None,None,Crew Cut,Brown,Zip Up Hoodie,Silver Cuban,None,Eyepatch,None
1106,4843,Pine,Male,Shade 5,None,None,Bowl Cut,Black,Hoodie,None,None,None,None
1107,4474,Pink,Male,Shade 3,None,None,Mullet,Brown,Rags,None,None,None,None
1108,1664,Lavender,Male,Shade 1,None,None,Buzzed Braids,Red,Hoodie,Pearl Necklace,Cigarette,Eyepatch,Handlebars
1109,405,Light Purple,Male,Shade 5,None,Beanie,Hat,Pink,Zip Up Hoodie,Gold Cuban,Surgical Mask,Eyepatch,Pencil Jaw
1110,997,Mauve,Male,Shade 2,None,Sweatband,Hat,Red,Camo Tee,Pink Choker,Cigarette,Future Shades,None
1111,902,Green,Female,Shade 5,None,Sweatband,Hat,Brown,Dirty Tee,Black Choker,Surgical Mask,Designer Shades 2,None
1112,2554,Green,Male,Shade 6,None,None,Dreads,Black,White Tank,Black Choker,None,Bridge Piercing,Quarter Goat
1113,2335,Green,Male,Shade 7,None,None,Dreads,Red,Zip Up Hoodie,Pearl Necklace,None,Cyborg Glasses,Full Goat
1114,3212,Turquoise,Male,Shade 3,None,None,Mohawk,Blonde,White Tee,Silver Cuban,Cigarette,None,5 o'clock
1115,2189,Light Purple,Female,Shade 4,None,Sweatband,Hat,Platinum,White Tee,Gold Cuban,Septum Piercing,None,None
1116,3236,Orange,Female,Shade 2,None,None,Top Dreads,Platinum,Zip Up Hoodie,Gold Cuban,Septum Piercing,None,None
1117,3920,Lavender,Female,Shade 6,None,None,Mohawk,Brown,Hoodie,None,Blunt,None,None
1118,4476,Orange,Female,Shade 5,None,None,Mohawk,Black,White Tank,None,None,None,None
1119,4876,Yellow,Male,Shade 1,None,None,Top Dreads,Black,Zip Up Hoodie,None,None,None,None
1120,4486,Turquoise,Female,Shade 4,None,None,Shaggy,Blonde,Zip Up Hoodie,None,None,None,None
1121,1662,Green,Female,Shade 1,None,Winter Hat,Hat,Red,Collard Tee,Black Choker,Blunt,None,None
1122,695,Sand,Male,Shade 3,None,Trucker Hat,Hat,Blonde,Cut Off Sleeves,Gold Cuban,Cigarette,Eyepatch,Handlebars
1123,1979,Sand,Female,Shade 3,None,None,Mullet,Red,Ripped Up Tee,Gold Cuban,Quellazaire,Eyepatch,None
1124,2978,Yellow,Female,Shade 2,None,Forwards Cap,Hat,Blonde,Cut Off Sleeves,None,Quellazaire,None,None
1125,3828,Blue,Female,Shade 3,None,None,Mullet,Blonde,Turtleneck,None,Septum Piercing,None,None
1126,4868,Mauve,Male,Shade 7,None,None,Mullet,Red,White Tee,None,None,None,None
1127,600,Turquoise,Male,Shade 6,None,Trucker Hat,Hat,Red,Ripped Up Tee,Silver Cuban,Wizard Pipe,Silver Piercings,5 o'clock
1128,432,Sand,Male,Shade 7,None,Beanie,Hat,Platinum,Ripped Up Tee,Pearl Necklace,Septum Piercing,Future Shades,Half Goat
1129,2065,Mauve,Female,Shade 1,None,None,Spikey,Red,Hawaiian Shirt,Gold Cuban,Cigarette,Reading Glasses,None
1130,3365,Pine,Female,Shade 1,None,None,Mohawk,Platinum,Button up,None,Blunt,Gold Piercings,None
1131,3811,Yellow,Female,Shade 7,None,None,Mullet,Brown,Festival Top,None,Pipe,None,None
1132,595,Green,Female,Shade 5,None,Horns,Hat,Platinum,White Tank,Bling,Quellazaire,Eyepatch,None
1133,1186,Yellow,Female,Shade 6,None,Sweatband,Hat,Platinum,Hoodie,Silver Cuban,Cigarette,Silver Piercings,None
1134,4960,Pink,Male,Shade 7,None,None,Mohawk,Blonde,Hoodie,None,None,None,None
1135,962,Sand,Male,Shade 5,None,Backwards Hat,Hat,Black,Zip Up Hoodie,Gold Cuban,Cigarette,Gold Piercings,Sideburns
1136,3016,Mauve,Female,Shade 5,None,None,Mullet,Blonde,Hawaiian Shirt,None,Surgical Mask,Designer Shades,None
1137,3703,Sand,Female,Shade 4,None,None,Buzzed Braids,Platinum,Zip Up Hoodie,Gold Cuban,None,None,None
1138,3353,Pink,Female,Shade 3,None,None,Shaggy,Blonde,Zip Up Hoodie,Gold Cuban,Vape,None,None
1139,3609,Sand,Male,Shade 7,None,None,Top Dreads,Blonde,Hoodie,Gold Cuban,Vape,None,None
1140,1634,Yellow,Male,Shade 3,None,None,Bowl Cut,Red,Camo Tee,Black Choker,Cigarette,Eyepatch,5 o'clock
1141,1254,Deco,Male,Shade 4,None,Beanie,Hat,Brown,Collard Tee,Gold Cuban,None,Designer Shades,Handlebars
1142,3775,Green,Female,Shade 7,None,None,Shaggy,Black,Hoodie,Gold Cuban,None,None,None
1143,4369,Orange,Female,Shade 6,None,None,Mullet,Blonde,White Tee,None,None,None,None
1144,3982,Pink,Female,Shade 2,None,None,Shoulder Length,Black,Rags,None,None,None,None
1145,3271,Lavender,Female,Shade 2,None,None,Crew Cut,Platinum,Button up,Gold Cuban,Cigarette,None,None
1146,3099,Light Purple,Female,Shade 1,None,None,Dreads,Black,Button up,Silver Cuban,Snake Bites,None,None
1147,1596,Green,Female,Shade 7,None,None,Buzzed Braids,Platinum,Cut Off Sleeves,Silver Cuban,Surgical Mask,3D Glasses,None
1148,148,Green,Male,Shade 1,Emo Lover Tats,Beanie,Hat,Rainbow,Rags,None,Vape,Steampunk Shades,Handlebars
1149,1903,Deco,Female,Shade 2,None,None,Bowl Cut,Brown,Striped Tee,Silver Cuban,Quellazaire,Gold Piercings,None
1150,3715,Light Purple,Male,Shade 3,None,None,Crew Cut,Red,White Tank,None,Septum Piercing,Designer Shades 2,None
1151,1154,Light Purple,Female,Shade 1,None,Forwards Cap,Hat,Brown,White Tank,Silver Cuban,Septum Piercing,Silver Piercings,None
1152,664,Pine,Female,Shade 4,None,Beanie,Hat,Green,Leather Jacket,Silver Cuban,Vape,Designer Shades 2,None
1153,3403,Deco,Male,Shade 1,None,None,Dreads,Black,White Tank,Silver Cuban,None,Designer Shades 2,None
1154,0,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton,Skeleton
1155,4634,Green,Male,Shade 4,None,None,Bowl Cut,Platinum,White Tank,None,None,None,None
1156,233,Pink,Female,Zombie,None,None,Spikey,Pink,Turtleneck,None,Cigarette,Gold Piercings,None
1157,4102,Deco,Female,Shade 5,None,None,Mullet,Red,Festival Top,None,None,None,None
1158,3756,Turquoise,Female,Shade 2,None,None,Mullet,Black,Button up,Silver Cuban,None,None,None
1159,2986,Deco,Male,Shade 2,None,None,Top Dreads,Red,Turtleneck,None,Cigarette,Gold Piercings,Full Goat
1160,914,Green,Female,Shade 1,None,Winter Hat,Hat,Platinum,Hoodie,Silver Cuban,Hay,Shutter Shades,None
1161,4125,Green,Female,Shade 5,None,None,Bowl Cut,Black,Festival Top,None,None,None,None
1162,1095,Turquoise,Male,Shade 3,None,Winter Hat,Hat,Pink,Turtleneck,None,Wizard Pipe,Eyepatch,Half Goat
1163,669,Mauve,Female,Shade 7,None,Beanie,Hat,Platinum,Leather Jacket,Black Choker,Snake Bites,Shutter Shades,None
1164,2964,Turquoise,Male,Shade 7,None,None,Shaggy,Black,White Tee,Silver Cuban,None,Reading Glasses,5 o'clock
1165,2766,Pink,Male,Shade 1,None,None,Bowl Cut,Blonde,Button up,Gold Cuban,Vape,Designer Shades 2,None
1166,3620,Light Purple,Male,Shade 3,None,None,Shaggy,Blonde,Zip Up Hoodie,Gold Cuban,Vape,None,None
1167,1723,Green,Male,Shade 2,None,Bucket Hat,Hat,Blonde,White Tee,None,Snake Bites,Cyborg Glasses,5 o'clock
1168,2237,Pink,Male,Shade 6,None,None,Mullet,Black,White Tee,Silver Cuban,Blunt,Designer Shades 2,Full Goat
1169,2179,Yellow,Male,Shade 2,None,None,Mullet,Red,White Tank,Silver Cuban,Pipe,Steampunk Shades,5 o'clock
1170,2395,Deco,Male,Shade 5,None,None,Mohawk,Blonde,Hoodie,Gold Cuban,Cigarette,Reading Glasses,5 o'clock
1171,3153,Orange,Female,Shade 1,None,None,Mullet,Platinum,Turtleneck,None,Septum Piercing,Sunglasses,None
1172,3582,Turquoise,Male,Shade 6,None,None,Top Dreads,Pink,Striped Tee,None,None,Sunglasses,None
1173,2394,Mauve,Male,Shade 4,None,Winter Hat,Hat,Blonde,Turtleneck,None,Snake Bites,Bridge Piercing,None
1174,1547,Pine,Male,Shade 6,None,None,Bald,Red,Hoodie,Pearl Necklace,Vape,Eyepatch,Full Goat
1175,3992,Yellow,Male,Shade 1,None,None,Dreads,Platinum,Hoodie,None,Cigarette,None,None
1176,515,Yellow,Female,Shade 3,None,Beanie,Hat,Red,Dirty Tee,Pink Choker,Hydration Pack,Bridge Piercing,None
1177,4118,Turquoise,Male,Shade 6,None,None,Crew Cut,Brown,White Tee,None,Cigarette,None,None
1178,2606,Blue,Male,Shade 5,None,Trucker Hat,Hat,Black,White Tank,None,None,Steampunk Shades,Chinstrap
1179,2599,Turquoise,Female,Shade 7,None,None,Mullet,Brown,Hawaiian Shirt,Black Choker,None,Sunglasses,None
1180,1374,Orange,Male,Shade 5,None,None,Buzzed Braids,Platinum,Collard Tee,Black Choker,Pipe,Silver Piercings,Pencil Jaw
1181,2950,Sand,Male,Shade 1,None,None,Crew Cut,Blonde,Turtleneck,None,Blunt,Sunglasses,Full Goat
1182,1221,Turquoise,Male,Shade 4,None,Forwards Cap,Hat,Green,Leather Jacket,None,Wizard Pipe,Reading Glasses,5 o'clock
1183,4803,Mauve,Male,Shade 2,None,None,Shaggy,Brown,White Tee,None,None,None,None
1184,323,Orange,Male,Shade 1,None,Winter Hat,Hat,Brown,Dirty Tee,Black Choker,Hydration Pack,Cyborg Glasses,Lined Up Soul Patch
1185,3564,Light Purple,Male,Shade 2,None,None,Mohawk,Red,Turtleneck,None,Septum Piercing,Eyepatch,None
1186,4622,Mauve,Male,Shade 3,None,None,Bald,Red,Hoodie,None,None,None,None
1187,3320,Lavender,Female,Shade 3,None,Bucket Hat,Hat,Black,Zip Up Hoodie,None,Pipe,None,None
1188,460,Yellow,Male,Shade 2,None,Trucker Hat,Hat,Red,White Tank,Pearl Necklace,Quellazaire,Shutter Shades,Chinstrap
1189,2210,Green,Female,Shade 7,None,None,Mohawk,Blonde,Hoodie,Pearl Necklace,Blunt,Gold Piercings,None
1190,2653,Green,Male,Shade 2,None,None,Buzzed Braids,Blonde,Leather Jacket,Silver Cuban,Snake Bites,None,Sideburns
1191,1844,Sand,Male,Shade 1,None,None,Dreads,Red,White Tee,Gold Cuban,Snake Bites,Sunglasses,5 o'clock
1192,1681,Yellow,Male,Shade 3,None,None,Bald,Black,Dirty Tee,Black Choker,Respirator Mask,Cyborg Glasses,None
1193,1848,Yellow,Female,Shade 4,None,None,Spikey,Platinum,Collard Tee,Gold Cuban,Pipe,Silver Piercings,None
1194,543,Yellow,Female,Shade 3,None,Winter Hat,Hat,Blonde,Camo Tee,Black Choker,Wizard Pipe,Cyborg Glasses,None
1195,2863,Sand,Male,Shade 1,None,None,Mohawk,Platinum,White Tee,Black Choker,Vape,None,Pencil Jaw
1196,213,Lavender,,Shade 4,None,Horns,Hat,Brown,Zip Up Hoodie,Gold Cuban,Hydration Pack,Sunglasses,Half Goat
1197,4053,Pine,Male,Shade 7,None,None,Top Dreads,Red,Zip Up Hoodie,None,Pipe,None,None
1198,787,Yellow,Female,Shade 7,None,Bucket Hat,Hat,Black,Camo Tee,Pearl Necklace,Pipe,Steampunk Shades,None
1199,1725,Pink,Male,Shade 7,None,Forwards Cap,Hat,Blonde,Dirty Tee,None,Quellazaire,Reading Glasses,Quarter Goat
1200,3162,Pink,Female,Shade 1,None,None,Bowl Cut,Red,White Tee,None,Hydration Pack,Gold Piercings,None
1201,4912,Pink,Male,Shade 1,None,None,Crew Cut,Black,Zip Up Hoodie,None,None,None,None
1202,1325,Light Purple,Female,Shade 6,None,Bucket Hat,Hat,Blue,Zip Up Hoodie,Gold Cuban,Snake Bites,None,None
1203,3489,Pink,Female,Shade 1,None,None,Top Dreads,Blonde,Zip Up Hoodie,None,Septum Piercing,Reading Glasses,None
1204,4752,Pine,Male,Shade 6,None,None,Crew Cut,Black,Button up,None,None,None,None
1205,4772,Green,Male,Shade 6,None,None,Top Dreads,Brown,Zip Up Hoodie,None,None,None,None
1206,2212,Yellow,Female,Shade 7,None,Winter Hat,Hat,Red,White Tee,Silver Cuban,Septum Piercing,None,None
1207,2549,Pink,Female,Shade 7,None,None,Mullet,Red,Hoodie,Silver Cuban,Vape,Reading Glasses,None
1208,473,Pink,Female,Shade 1,None,Sweatband,Hat,Red,Hawaiian Shirt,Pink Choker,Quellazaire,Future Shades,None
1209,2218,Sand,Male,Shade 3,None,None,Mohawk,Black,Dirty Tee,Pink Choker,Blunt,Designer Shades,None
1210,3840,Lavender,Female,Shade 1,None,None,Mohawk,Red,Zip Up Hoodie,None,None,Designer Shades 2,None
1211,2787,Yellow,Female,Shade 3,None,Bucket Hat,Hat,Platinum,Dirty Tee,None,None,Designer Shades 2,None
1212,448,Deco,Female,Shade 6,None,Beanie,Hat,Red,Dirty Tee,Pink Choker,Hydration Pack,Shutter Shades,None
1213,1556,Sand,Male,Shade 5,None,Trucker Hat,Hat,Blonde,Rags,None,Pipe,Shutter Shades,5 o'clock
1214,2037,Light Purple,Male,Shade 3,None,None,Bowl Cut,Brown,Button up,Gold Cuban,Septum Piercing,Bridge Piercing,5 o'clock
1215,3187,Lavender,Female,Shade 5,None,None,Buzzed Braids,Red,Festival Top,None,Blunt,Reading Glasses,None
1216,1092,Green,Female,Shade 1,None,Bucket Hat,Hat,Brown,Ripped Up Tee,Silver Cuban,Vape,Designer Shades 2,None
1217,125,Pine,Female,Shade 3,Street Tats,Beanie,Hat,Platinum,White Tee,Silver Cuban,Hydration Pack,Steampunk Shades,None
1218,3695,Light Purple,Male,Shade 1,None,None,Shaggy,Brown,Shirtless With Tats,None,Septum Piercing,None,5 o'clock
1219,2693,Pink,Male,Shade 4,None,None,Dreads,Platinum,White Tee,Gold Cuban,Cigarette,Reading Glasses,None
1220,484,Blue,Female,Shade 3,None,Cowboy Hat,Hat,Blonde,Striped Tee,Black Choker,Hay,Cyborg Glasses,None
1221,3937,Orange,Female,Shade 5,None,None,Mohawk,Black,White Tee,None,Vape,None,None
1222,3112,Blue,Female,Shade 4,None,None,Mohawk,Black,Collard Tee,None,Quellazaire,Sunglasses,None
1223,879,Pine,Male,Shade 4,None,Sweatband,Hat,Brown,Ripped Up Tee,Gold Cuban,Blunt,Designer Shades 2,Quarter Goat
1224,415,Lavender,Male,Shade 1,None,Bucket Hat,Hat,Red,Leather Jacket,Bling,Cigarette,Designer Shades 2,Stache
1225,270,Blue,Female,Shade 3,None,Cowboy Hat,Hat,Blue,Cut Off Sleeves,Pearl Necklace,Surgical Mask,Future Shades,None
1226,3748,Light Purple,Female,Shade 7,None,None,Shaggy,Blonde,White Tee,Gold Cuban,None,None,None
1227,649,Pink,Female,Shade 1,None,Beanie,Hat,Blonde,Hoodie,Bling,Hydration Pack,Designer Shades,None
1228,118,Green,Female,Alien,None,Beanie,Hat,Blonde,White Tank,Silver Cuban,Wizard Pipe,Future Shades,None
1229,161,Lavender,Female,Shade 7,Street Tats,Forwards Cap,Hat,Pink,Button up,Silver Cuban,None,3D Glasses,None
1230,3713,Orange,Male,Shade 4,None,None,Bowl Cut,Brown,Button up,None,Cigarette,Designer Shades 2,None
1231,3670,Deco,Male,Shade 5,None,None,Mullet,Black,Collard Tee,None,None,Reading Glasses,5 o'clock
1232,2415,Blue,Male,Shade 7,None,None,Mullet,Blonde,Cut Off Sleeves,Pearl Necklace,Pipe,Designer Shades 2,None
1233,1555,Light Purple,Female,Shade 4,None,Beanie,Hat,Green,White Tank,None,Septum Piercing,Shutter Shades,None
1234,4281,Pine,Female,Shade 7,None,None,Top Dreads,Red,White Tee,None,None,None,None
1235,893,Pine,Female,Shade 5,None,Beanie,Hat,Blonde,Hawaiian Shirt,Silver Cuban,Hay,Reading Glasses,None
1236,1745,Green,Male,Shade 1,None,None,Dreads,Red,White Tank,Silver Cuban,Snake Bites,Sunglasses,Pencil Jaw
1237,4000,Blue,Female,Shade 3,None,None,Dreads,Red,Rags,None,None,None,None
1238,1915,Mauve,Female,Shade 1,None,None,Crew Cut,Brown,Ripped Up Tee,Black Choker,Septum Piercing,Designer Shades,None
1239,3600,Mauve,Male,Shade 1,None,None,Mohawk,Brown,Rags,None,Pipe,Reading Glasses,None
1240,1149,Green,Female,Shade 4,None,Cowboy Hat,Hat,Black,White Tank,Silver Cuban,Pipe,Silver Piercings,None
1241,1645,Lavender,Female,Shade 1,None,Sweatband,Hat,Platinum,Dirty Tee,None,Respirator Mask,Gold Piercings,None
1242,882,Orange,Male,Shade 1,None,Sweatband,Hat,Red,White Tee,Pearl Necklace,Blunt,Designer Shades 2,Full Goat
1243,1583,Green,Male,Shade 5,None,None,Mohawk,Red,White Tank,Pink Choker,Quellazaire,Reading Glasses,Pencil Jaw
1244,991,Deco,Female,Shade 4,None,Horns,Hat,Black,Zip Up Hoodie,Silver Cuban,Quellazaire,3D Glasses,None
1245,1712,Blue,Male,Shade 6,None,None,Top Dreads,Brown,White Tank,Black Choker,Vape,Steampunk Shades,Full Goat
1246,4401,Turquoise,Female,Shade 7,None,None,Top Dreads,Black,White Tank,None,None,None,None
1247,3241,Light Purple,Female,Shade 1,None,None,Spikey,Brown,Button up,None,Cigarette,Bridge Piercing,None
1248,2835,Pink,Male,Shade 7,None,None,Dreads,Brown,Turtleneck,None,Septum Piercing,Eyepatch,Full Goat
1249,2951,Deco,Female,Shade 4,None,None,Spikey,Black,Camo Tee,None,Quellazaire,Bridge Piercing,None
1250,2222,Lavender,Female,Shade 6,None,None,Mohawk,Black,Hoodie,Black Choker,Septum Piercing,Future Shades,None
1251,3888,Deco,Female,Shade 7,None,None,Mullet,Black,Button up,None,Blunt,None,None
1252,2786,Sand,Male,Shade 2,None,None,Top Dreads,Blonde,Dirty Tee,None,Septum Piercing,Sunglasses,Stache
1253,2720,Green,Male,Shade 5,None,None,Mullet,Red,White Tee,Silver Cuban,Pipe,Sunglasses,None
1254,2582,Pink,Female,Shade 2,None,None,Mohawk,Red,Hoodie,Silver Cuban,Vape,Reading Glasses,None
1255,2541,Mauve,Female,Shade 1,None,None,Crew Cut,Red,Zip Up Hoodie,Gold Cuban,Septum Piercing,Reading Glasses,None
1256,1246,Mauve,Female,Shade 1,None,None,Dreads,Green,Leather Jacket,Black Choker,Pipe,Steampunk Shades,None
1257,3924,Mauve,Female,Shade 7,None,None,Bowl Cut,Black,White Tee,None,Cigarette,None,None
1258,862,Deco,Male,Shade 3,None,Forwards Cap,Hat,Platinum,Zip Up Hoodie,Silver Cuban,Quellazaire,Designer Shades,Sideburns
1259,2695,Lavender,Female,Shade 3,None,None,Buzzed Braids,Blonde,Hoodie,Pearl Necklace,None,Sunglasses,None
1260,1719,Yellow,Female,Shade 7,None,None,Dreads,Black,Hawaiian Shirt,Black Choker,Snake Bites,Reading Glasses,None
1261,4025,Turquoise,Male,Shade 5,None,None,Mullet,Red,Button up,None,Septum Piercing,None,None
1262,3959,Sand,Male,Shade 4,None,None,Shaggy,Black,Shirtless,None,Pipe,None,None
1263,2467,Lavender,Female,Shade 2,None,None,Buzzed Braids,Black,White Tank,Silver Cuban,Vape,Reading Glasses,None
1264,3605,Sand,Male,Shade 6,None,None,Crew Cut,Brown,White Tank,Gold Cuban,Pipe,None,None
1265,858,Sand,Male,Shade 4,None,Sweatband,Hat,Red,White Tank,Gold Cuban,Snake Bites,Steampunk Shades,Half Goat
1266,1480,Sand,Male,Shade 1,None,None,Crew Cut,Brown,Striped Tee,Gold Cuban,Surgical Mask,Bridge Piercing,Handlebars
1267,3138,Pink,Female,Shade 3,None,None,Dreads,Brown,Hawaiian Shirt,None,Blunt,Designer Shades 2,None
1268,2669,Lavender,Male,Shade 4,None,None,Spikey,Brown,White Tank,Black Choker,Snake Bites,None,5 o'clock
1269,849,Light Purple,Female,Shade 7,None,Winter Hat,Hat,Green,Zip Up Hoodie,Gold Cuban,Vape,Designer Shades 2,None
1270,4219,Green,Female,Shade 3,None,None,Shoulder Length,Black,Hoodie,None,None,None,None
1271,2536,Turquoise,Female,Shade 1,None,None,Top Dreads,Brown,Hoodie,Gold Cuban,Vape,Reading Glasses,None
1272,1701,Light Purple,Female,Shade 1,None,Bucket Hat,Hat,Blonde,Ripped Up Tee,Black Choker,Cigarette,None,None
1273,156,Light Purple,Female,Zombie,None,Horns,Hat,Rainbow,Dress,None,Pipe,Gold Piercings,None
1274,4207,Pine,Female,Shade 6,None,None,Top Dreads,Platinum,White Tank,None,None,None,None
1275,4857,Lavender,Male,Shade 6,None,None,Top Dreads,Black,Zip Up Hoodie,None,None,None,None
1276,3487,Pine,Female,Shade 5,None,None,Shaggy,Brown,White Tank,None,Blunt,Designer Shades 2,None
1277,11,Pink,Male,Alien,Emo Lover Tats,Backwards Hat,Hat,Pink,Rags,None,Snake Bites,Shutter Shades,Chinstrap
1278,4801,Green,Male,Shade 6,None,None,Top Dreads,Black,White Tank,None,None,None,None
1279,3768,Turquoise,Female,Shade 3,None,None,Spikey,Red,Striped Tee,None,Septum Piercing,None,None
1280,1936,Pine,Male,Shade 1,None,None,Top Dreads,Pink,Leather Jacket,None,Wizard Pipe,Future Shades,Dapper Stache
1281,3601,Deco,Female,Shade 6,None,None,Dreads,Platinum,Festival Top,None,None,Gold Piercings,None
1282,19,Green,Female,Alien,Emo Lover Tats,None,Dreads,Pink,Hoodie,Pearl Necklace,Septum Piercing,None,None
1283,4948,Green,Male,Shade 6,None,None,Shaggy,Red,Hoodie,None,None,None,None
1284,109,Blue,Female,Shade 4,Emo Lover Tats,Bucket Hat,Hat,Blonde,Dirty Tee,Black Choker,Septum Piercing,Silver Piercings,None
1285,2912,Deco,Male,Shade 7,None,None,Shaggy,Red,White Tank,Gold Cuban,None,Reading Glasses,5 o'clock
1286,489,Lavender,Male,Shade 1,None,Bucket Hat,Hat,Black,Ripped Up Tee,Black Choker,Hydration Pack,Designer Shades 2,Sideburns
1287,2949,Deco,Male,Shade 2,None,None,Bowl Cut,Blonde,Turtleneck,None,Vape,Sunglasses,Sideburns
1288,427,Pink,Male,Shade 6,None,Winter Hat,Hat,Platinum,Leather Jacket,Black Choker,Wizard Pipe,Reading Glasses,Handlebars
1289,3251,Deco,Female,Shade 6,None,None,Bowl Cut,Red,Turtleneck,None,Pipe,Silver Piercings,None
1290,4002,Light Purple,Male,Shade 5,None,None,Bowl Cut,Brown,Button up,None,Pipe,None,None
1291,2799,Orange,Male,Shade 2,None,None,Crew Cut,Red,Collard Tee,None,Snake Bites,Gold Piercings,Sideburns
1292,4918,Light Purple,Male,Shade 7,None,None,Crew Cut,Black,Zip Up Hoodie,None,None,None,None
1293,3499,Green,Female,Shade 5,None,None,Mohawk,Black,White Tank,None,Pipe,Designer Shades,None
1294,2997,Deco,Male,Shade 2,None,None,Top Dreads,Blonde,Zip Up Hoodie,None,Surgical Mask,Designer Shades,Sideburns
1295,4971,Blue,Male,Shade 1,None,None,Mohawk,Blonde,Hoodie,None,None,None,None
1296,732,Mauve,Male,Shade 2,None,Beanie,Hat,Platinum,Leather Jacket,Gold Cuban,Blunt,Shutter Shades,5 o'clock
1297,1602,Blue,Female,Shade 3,None,None,Spikey,Black,Hawaiian Shirt,Black Choker,Blunt,Bridge Piercing,None
1298,798,Yellow,Male,Shade 3,None,Winter Hat,Hat,Pink,Ripped Up Tee,Pearl Necklace,Surgical Mask,None,Half Goat
1299,965,Green,Female,Shade 2,None,Horns,Hat,Blonde,White Tee,Gold Cuban,Wizard Pipe,Silver Piercings,None
1300,2680,Pine,Male,Shade 7,None,None,Mohawk,Platinum,Leather Jacket,None,Snake Bites,3D Glasses,Pencil Jaw
1301,2578,Mauve,Male,Shade 6,None,None,Mohawk,Black,Ripped Up Tee,Silver Cuban,None,Bridge Piercing,Chinstrap
1302,2779,Yellow,Male,Shade 4,None,None,Buzzed Braids,Blonde,White Tee,Silver Cuban,Pipe,Designer Shades 2,None
1303,1137,Orange,Female,Shade 1,None,Sweatband,Hat,Black,Hoodie,Silver Cuban,Surgical Mask,Gold Piercings,None
1304,3935,Green,Male,Shade 2,None,None,Crew Cut,Brown,Shirtless With Tats,None,Pipe,None,None
1305,3106,Yellow,Female,Shade 4,None,None,Spikey,Red,Turtleneck,None,Pipe,Steampunk Shades,None
1306,1916,Yellow,Male,Shade 4,None,Forwards Cap,Hat,Green,Turtleneck,None,Pipe,Shutter Shades,None
1307,3318,Light Purple,Female,Shade 7,None,None,Mohawk,Blonde,Turtleneck,None,Pipe,Bridge Piercing,None
1308,4148,Turquoise,Female,Shade 6,None,None,Mohawk,Brown,Festival Top,None,None,None,None
1309,3156,Sand,Female,Shade 4,None,None,Bowl Cut,Brown,White Tee,Black Choker,Cigarette,None,None
1310,843,Blue,Female,Shade 6,None,Winter Hat,Hat,Platinum,Ripped Up Tee,Pearl Necklace,Vape,Designer Shades 2,None
1311,3363,Sand,Male,Shade 4,None,None,Bald,Platinum,Dirty Tee,None,Septum Piercing,Bridge Piercing,None
1312,2098,Green,Female,Shade 5,None,None,Mullet,Brown,Hawaiian Shirt,Silver Cuban,Pipe,Gold Piercings,None
1313,240,Lavender,Female,Shade 5,Lazy Boy Tats,Winter Hat,Hat,Brown,Ripped Up Tee,None,None,Designer Shades 2,None
1314,52,Yellow,Male,Shade 3,Street Tats,Sweatband,Hat,Pink,Leather Jacket,Silver Cuban,Quellazaire,Silver Piercings,Full Goat
1315,2211,Deco,Male,Shade 7,None,None,Spikey,Black,Cut Off Sleeves,Pearl Necklace,None,Eyepatch,5 o'clock
1316,1205,Light Purple,Male,Shade 7,None,Trucker Hat,Hat,Red,Striped Tee,Silver Cuban,None,Eyepatch,Quarter Goat
1317,587,Turquoise,Male,Shade 1,None,Beanie,Hat,Blonde,Striped Tee,Gold Cuban,Quellazaire,Silver Piercings,Stache
1318,935,Pink,Male,Shade 7,None,Forwards Cap,Hat,Platinum,White Tee,Gold Cuban,Vape,Designer Shades,Sideburns
1319,4146,Turquoise,Male,Shade 3,None,None,Mullet,Black,White Tee,None,Pipe,None,None
1320,2832,Orange,Female,Shade 7,None,Cowboy Hat,Hat,Platinum,Dirty Tee,None,Snake Bites,None,None
1321,1345,Orange,Male,Shade 7,None,Trucker Hat,Hat,Red,Dirty Tee,Gold Cuban,Surgical Mask,None,Full Goat
1322,1139,Deco,Female,Shade 7,None,Bucket Hat,Hat,Green,Hawaiian Shirt,Gold Cuban,Wizard Pipe,None,None
1323,1623,Pine,Male,Shade 5,None,None,Top Dreads,Brown,Collard Tee,Gold Cuban,Quellazaire,Reading Glasses,Half Goat
1324,624,Deco,Male,Shade 4,None,Winter Hat,Hat,Red,Dirty Tee,Gold Cuban,Snake Bites,Eyepatch,Sideburns
1325,2710,Blue,Male,Shade 4,None,None,Bald,Black,Turtleneck,None,Snake Bites,Steampunk Shades,Handlebars
1326,657,Pine,Male,Shade 7,None,Cowboy Hat,Hat,Black,Collard Tee,Gold Cuban,Septum Piercing,Eyepatch,Quarter Goat
1327,3993,Lavender,Female,Shade 6,None,None,Buzzed Braids,Black,Dress,None,None,None,None
