id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial,nftID
1281,3601,Deco,Female,Shade 6,None,None,Dreads,Platinum,Festival Top,None,None,Gold Piercings,None,3733
1282,19,Green,Female,Alien,Emo Lover Tats,None,Dreads,Pink,Hoodie,Pearl Necklace,Septum Piercing,None,None,0
1283,4948,Green,Male,Shade 6,None,None,Shaggy,Red,Hoodie,None,None,None,None,2712
1284,109,Blue,Female,Shade 4,Emo Lover Tats,Bucket Hat,Hat,Blonde,Dirty Tee,Black Choker,Septum Piercing,Silver Piercings,None,0
1285,2912,Deco,Male,Shade 7,None,None,Shaggy,Red,White Tank,Gold Cuban,None,Reading Glasses,5 o'clock,518
1286,489,Lavender,Male,Shade 1,None,Bucket Hat,Hat,Black,Ripped Up Tee,Black Choker,Hydration Pack,Designer Shades 2,Sideburns,4872
1287,2949,Deco,Male,Shade 2,None,None,Bowl Cut,Blonde,Turtleneck,None,Vape,Sunglasses,Sideburns,1015
1288,427,Pink,Male,Shade 6,None,Winter Hat,Hat,Platinum,Leather Jacket,Black Choker,Wizard Pipe,Reading Glasses,Handlebars,0
1289,3251,Deco,Female,Shade 6,None,None,Bowl Cut,Red,Turtleneck,None,Pipe,Silver Piercings,None,3936
1290,4002,Light Purple,Male,Shade 5,None,None,Bowl Cut,Brown,Button up,None,Pipe,None,None,2155
1291,2799,Orange,Male,Shade 2,None,None,Crew Cut,Red,Collard Tee,None,Snake Bites,Gold Piercings,Sideburns,1886
1292,4918,Light Purple,Male,Shade 7,None,None,Crew Cut,Black,Zip Up Hoodie,None,None,None,None,4868
1293,3499,Green,Female,Shade 5,None,None,Mohawk,Black,White Tank,None,Pipe,Designer Shades,None,0
1294,2997,Deco,Male,Shade 2,None,None,Top Dreads,Blonde,Zip Up Hoodie,None,Surgical Mask,Designer Shades,Sideburns,0
1295,4971,Blue,Male,Shade 1,None,None,Mohawk,Blonde,Hoodie,None,None,None,None,3796
1296,732,Mauve,Male,Shade 2,None,Beanie,Hat,Platinum,Leather Jacket,Gold Cuban,Blunt,Shutter Shades,5 o'clock,577
1297,1602,Blue,Female,Shade 3,None,None,Spikey,Black,Hawaiian Shirt,Black Choker,Blunt,Bridge Piercing,None,3713
1298,798,Yellow,Male,Shade 3,None,Winter Hat,Hat,Pink,Ripped Up Tee,Pearl Necklace,Surgical Mask,None,Half Goat,0
1299,965,Green,Female,Shade 2,None,Horns,Hat,Blonde,White Tee,Gold Cuban,Wizard Pipe,Silver Piercings,None,4177
1300,2680,Pine,Male,Shade 7,None,None,Mohawk,Platinum,Leather Jacket,None,Snake Bites,3D Glasses,Pencil Jaw,3306
1301,2578,Mauve,Male,Shade 6,None,None,Mohawk,Black,Ripped Up Tee,Silver Cuban,None,Bridge Piercing,Chinstrap,5932
1302,2779,Yellow,Male,Shade 4,None,None,Buzzed Braids,Blonde,White Tee,Silver Cuban,Pipe,Designer Shades 2,None,2928
1303,1137,Orange,Female,Shade 1,None,Sweatband,Hat,Black,Hoodie,Silver Cuban,Surgical Mask,Gold Piercings,None,754
1304,3935,Green,Male,Shade 2,None,None,Crew Cut,Brown,Shirtless With Tats,None,Pipe,None,None,2653
1305,3106,Yellow,Female,Shade 4,None,None,Spikey,Red,Turtleneck,None,Pipe,Steampunk Shades,None,5282
1306,1916,Yellow,Male,Shade 4,None,Forwards Cap,Hat,Green,Turtleneck,None,Pipe,Shutter Shades,None,2853
1307,3318,Light Purple,Female,Shade 7,None,None,Mohawk,Blonde,Turtleneck,None,Pipe,Bridge Piercing,None,0
1308,4148,Turquoise,Female,Shade 6,None,None,Mohawk,Brown,Festival Top,None,None,None,None,831
1309,3156,Sand,Female,Shade 4,None,None,Bowl Cut,Brown,White Tee,Black Choker,Cigarette,None,None,2345
1310,843,Blue,Female,Shade 6,None,Winter Hat,Hat,Platinum,Ripped Up Tee,Pearl Necklace,Vape,Designer Shades 2,None,3187
1311,3363,Sand,Male,Shade 4,None,None,Bald,Platinum,Dirty Tee,None,Septum Piercing,Bridge Piercing,None,0
1312,2098,Green,Female,Shade 5,None,None,Mullet,Brown,Hawaiian Shirt,Silver Cuban,Pipe,Gold Piercings,None,0
1313,240,Lavender,Female,Shade 5,Lazy Boy Tats,Winter Hat,Hat,Brown,Ripped Up Tee,None,None,Designer Shades 2,None,2049
1314,52,Yellow,Male,Shade 3,Street Tats,Sweatband,Hat,Pink,Leather Jacket,Silver Cuban,Quellazaire,Silver Piercings,Full Goat,6322
1315,2211,Deco,Male,Shade 7,None,None,Spikey,Black,Cut Off Sleeves,Pearl Necklace,None,Eyepatch,5 o'clock,0
1316,1205,Light Purple,Male,Shade 7,None,Trucker Hat,Hat,Red,Striped Tee,Silver Cuban,None,Eyepatch,Quarter Goat,3492
1317,587,Turquoise,Male,Shade 1,None,Beanie,Hat,Blonde,Striped Tee,Gold Cuban,Quellazaire,Silver Piercings,Stache,432
1318,935,Pink,Male,Shade 7,None,Forwards Cap,Hat,Platinum,White Tee,Gold Cuban,Vape,Designer Shades,Sideburns,0
1319,4146,Turquoise,Male,Shade 3,None,None,Mullet,Black,White Tee,None,Pipe,None,None,0
1320,2832,Orange,Female,Shade 7,None,Cowboy Hat,Hat,Platinum,Dirty Tee,None,Snake Bites,None,None,2798
1321,1345,Orange,Male,Shade 7,None,Trucker Hat,Hat,Red,Dirty Tee,Gold Cuban,Surgical Mask,None,Full Goat,0
1322,1139,Deco,Female,Shade 7,None,Bucket Hat,Hat,Green,Hawaiian Shirt,Gold Cuban,Wizard Pipe,None,None,0
1323,1623,Pine,Male,Shade 5,None,None,Top Dreads,Brown,Collard Tee,Gold Cuban,Quellazaire,Reading Glasses,Half Goat,5442
1324,624,Deco,Male,Shade 4,None,Winter Hat,Hat,Red,Dirty Tee,Gold Cuban,Snake Bites,Eyepatch,Sideburns,3152
1325,2710,Blue,Male,Shade 4,None,None,Bald,Black,Turtleneck,None,Snake Bites,Steampunk Shades,Handlebars,2640
1326,657,Pine,Male,Shade 7,None,Cowboy Hat,Hat,Black,Collard Tee,Gold Cuban,Septum Piercing,Eyepatch,Quarter Goat,2221
1327,3993,Lavender,Female,Shade 6,None,None,Buzzed Braids,Black,Dress,None,None,None,None,2144
1328,3936,Light Purple,Female,Shade 3,None,None,Mohawk,Blonde,White Tee,None,Pipe,None,None,3104
1329,1491,Pink,Male,Shade 1,None,None,Spikey,Platinum,White Tee,Black Choker,Vape,Sunglasses,Half Goat,0
1330,4687,Turquoise,Male,Shade 6,None,None,Crew Cut,Platinum,White Tank,None,None,None,None,2545
1331,4804,Green,Male,Shade 6,None,None,Shaggy,Brown,White Tee,None,None,None,None,1018
1332,2175,Blue,Male,Shade 6,None,Forwards Cap,Hat,Red,Ripped Up Tee,None,Hydration Pack,3D Glasses,None,0
1333,4677,Pine,Male,Shade 3,None,None,Top Dreads,Black,Button up,None,None,None,None,0
1334,944,Pine,Female,Shade 5,None,Beanie,Hat,Brown,Collard Tee,Silver Cuban,Vape,Shutter Shades,None,2577
1335,4013,Mauve,Male,Shade 1,None,None,Mullet,Red,Button up,None,Septum Piercing,None,None,0
1336,3777,Lavender,Female,Shade 7,None,None,Top Dreads,Platinum,Rags,None,Blunt,None,None,1751
1337,4361,Blue,Female,Shade 7,None,None,Crew Cut,Red,White Tank,None,None,None,None,0
1338,1348,Orange,Male,Shade 1,None,Backwards Hat,Hat,Brown,Ripped Up Tee,Gold Cuban,Quellazaire,None,Handlebars,5812
1339,4883,Mauve,Male,Shade 4,None,None,Shaggy,Brown,Hoodie,None,None,None,None,140
1340,2921,Pine,Male,Shade 5,None,None,Mohawk,Red,Hoodie,Silver Cuban,Cigarette,Designer Shades 2,None,2189
1341,3681,Deco,Female,Shade 1,None,None,Mullet,Red,Hawaiian Shirt,None,None,Eyepatch,None,3930
1342,2050,Lavender,Male,Shade 5,None,None,Shaggy,Blonde,Button up,Silver Cuban,Vape,Designer Shades,Sideburns,0
1343,1762,Turquoise,Male,Shade 3,None,None,Shaggy,Blonde,White Tee,Pearl Necklace,Cigarette,Sunglasses,Quarter Goat,0
1344,325,Sand,Male,Shade 4,None,Horns,Hat,Red,Camo Tee,Pink Choker,Hay,Designer Shades,Sideburns,5660
1345,3955,Green,Male,Shade 4,None,None,Top Dreads,Blonde,Rags,None,Pipe,None,None,3195
1346,1061,Green,Male,Shade 2,None,Winter Hat,Hat,Green,Leather Jacket,None,Surgical Mask,Eyepatch,Chinstrap,1735
1347,582,Sand,Male,Shade 3,None,Sweatband,Hat,Platinum,Button up,Pink Choker,Cigarette,Silver Piercings,Handlebars,1685
1348,1526,Blue,Male,Shade 7,None,None,Dreads,Brown,Ripped Up Tee,Black Choker,Pipe,Eyepatch,5 o'clock,0
1349,3360,Blue,Female,Shade 3,None,None,Dreads,Black,Button up,None,Cigarette,Silver Piercings,None,3775
1350,2700,Blue,Male,Shade 6,None,None,Crew Cut,Red,White Tee,Gold Cuban,None,Steampunk Shades,Handlebars,1872
1351,2707,Pine,Male,Shade 3,None,None,Bald,Blonde,Turtleneck,None,Quellazaire,Designer Shades,Handlebars,3995
1352,482,Green,Male,Shade 4,None,Beanie,Hat,Red,Dirty Tee,Pearl Necklace,Quellazaire,Eyepatch,Quarter Goat,2989
1353,3984,Mauve,Female,Shade 6,None,None,Shoulder Length,Blonde,Rags,None,None,None,None,3119
1354,4184,Orange,Female,Shade 1,None,None,Shoulder Length,Brown,Zip Up Hoodie,None,None,None,None,3588
1355,2488,Turquoise,Female,Shade 4,None,None,Bowl Cut,Brown,White Tank,Silver Cuban,Septum Piercing,Reading Glasses,None,319
1356,2410,Mauve,Female,Shade 5,None,None,Spikey,Blonde,Hoodie,Gold Cuban,Vape,Designer Shades 2,None,0
1357,3941,Pink,Female,Shade 6,None,None,Crew Cut,Black,Hoodie,None,Pipe,None,None,0
1358,1684,Lavender,Male,Shade 5,None,Sweatband,Hat,Brown,Turtleneck,None,Snake Bites,Steampunk Shades,5 o'clock,0
1359,3457,Pink,Male,Shade 2,None,None,Dreads,Blonde,Collard Tee,None,None,Eyepatch,Sideburns,4984
1360,3335,Deco,Female,Shade 7,None,None,Bowl Cut,Red,Zip Up Hoodie,None,Snake Bites,Designer Shades,None,3309
1361,4972,Turquoise,Male,Shade 6,None,None,Mullet,Black,Zip Up Hoodie,None,None,None,None,1852
1362,441,Mauve,Male,Shade 3,None,Bucket Hat,Hat,Brown,Dirty Tee,Black Choker,Septum Piercing,3D Glasses,Chinstrap,0
1363,2470,Pink,Female,Shade 6,None,None,Buzzed Braids,Black,Button up,Gold Cuban,Pipe,Designer Shades 2,None,3093
1364,760,Light Purple,Male,Shade 1,None,Horns,Hat,Platinum,Button up,Gold Cuban,Quellazaire,Sunglasses,5 o'clock,0
1365,2003,Lavender,Female,Shade 3,None,Beanie,Hat,Blonde,Collard Tee,None,Septum Piercing,Future Shades,None,784
1366,1951,Lavender,Male,Shade 6,None,None,Mohawk,Red,White Tee,Silver Cuban,Quellazaire,Bridge Piercing,Pencil Jaw,0
1367,251,Blue,Male,Shade 5,None,Cowboy Hat,Hat,Green,Leather Jacket,Pink Choker,Septum Piercing,Gold Piercings,Sideburns,0
1368,1958,Sand,Male,Shade 5,None,None,Bowl Cut,Black,White Tee,Black Choker,Septum Piercing,Reading Glasses,Half Goat,2107
1369,71,Orange,Male,Shade 5,Street Tats,Bucket Hat,Hat,Brown,Ripped Up Tee,Gold Cuban,Respirator Mask,Cyborg Glasses,Handlebars,846
1370,375,Sand,Female,Shade 3,None,Winter Hat,Hat,Green,Leather Jacket,Silver Cuban,Hay,Gold Piercings,None,0
1371,2450,Mauve,Female,Shade 7,None,None,Buzzed Braids,Black,Button up,Silver Cuban,Blunt,Designer Shades 2,None,707
1372,2106,Pink,Female,Shade 4,None,Sweatband,Hat,Brown,Collard Tee,None,Pipe,Steampunk Shades,None,961
1373,342,Green,Male,Shade 7,None,Bucket Hat,Hat,Pink,Hoodie,Gold Cuban,Quellazaire,Cyborg Glasses,Sideburns,3565
1374,480,Mauve,Male,Shade 6,None,Bucket Hat,Hat,Pink,Striped Tee,Pink Choker,Blunt,Designer Shades,None,1299
1375,1496,Deco,Male,Shade 5,None,Backwards Hat,Hat,Blonde,Turtleneck,None,Quellazaire,Silver Piercings,Full Goat,0
1376,696,Yellow,Female,Shade 3,None,Beanie,Hat,Blonde,Hawaiian Shirt,Black Choker,Surgical Mask,Sunglasses,None,3780
1377,684,Sand,Female,Shade 6,None,Horns,Hat,Brown,Hoodie,Bling,Blunt,Shutter Shades,None,4149
1378,343,Pine,Male,Shade 3,None,Winter Hat,Hat,Platinum,Leather Jacket,Pink Choker,Blunt,Future Shades,Quarter Goat,5280
1379,1276,Pine,Female,Shade 5,None,Horns,Hat,Platinum,Hawaiian Shirt,Pink Choker,Vape,None,None,0
1380,4065,Lavender,Female,Shade 6,None,None,Bowl Cut,Blonde,Festival Top,None,None,None,None,2508
1381,4132,Lavender,Male,Shade 7,None,None,Top Dreads,Black,Hoodie,None,Cigarette,None,None,6088
1382,2736,Yellow,Male,Shade 1,None,None,Bowl Cut,Brown,Button up,Gold Cuban,Blunt,Reading Glasses,None,0
1383,1929,Mauve,Female,Shade 2,None,None,Dreads,Platinum,White Tank,Pearl Necklace,Cigarette,Sunglasses,None,1582
1384,3683,Lavender,Female,Shade 1,None,None,Spikey,Platinum,Cut Off Sleeves,None,Surgical Mask,None,None,5472
1385,3562,Deco,Male,Shade 5,None,None,Buzzed Braids,Red,Zip Up Hoodie,Silver Cuban,Blunt,None,None,848
1386,727,Turquoise,Male,Shade 4,None,Bucket Hat,Hat,Brown,Cut Off Sleeves,Gold Cuban,Cigarette,Steampunk Shades,Pencil Jaw,3273
1387,1335,Yellow,Male,Shade 3,None,None,Spikey,Blonde,Striped Tee,Gold Cuban,Snake Bites,Silver Piercings,Chinstrap,1942
1388,275,Turquoise,Male,Shade 2,None,Horns,Hat,Green,White Tee,Pink Choker,Wizard Pipe,Designer Shades,5 o'clock,3778
1389,4117,Lavender,Female,Shade 5,None,None,Mullet,Black,Rags,None,None,None,None,6007
1390,3270,Orange,Female,Shade 2,None,None,Dreads,Red,Turtleneck,None,Septum Piercing,Designer Shades 2,None,0
1391,1572,Green,Female,Shade 2,None,Winter Hat,Hat,Platinum,Turtleneck,None,Wizard Pipe,Cyborg Glasses,None,1883
1392,2800,Light Purple,Female,Shade 4,None,None,Spikey,Blonde,Button up,Gold Cuban,None,Gold Piercings,None,11269
1393,2278,Orange,Male,Shade 6,None,Winter Hat,Hat,Blonde,White Tee,Gold Cuban,Respirator Mask,None,None,0
1394,2418,Green,Female,Shade 7,None,None,Mullet,Black,Zip Up Hoodie,Gold Cuban,Blunt,Sunglasses,None,6117
1395,2323,Turquoise,Male,Shade 7,None,None,Mullet,Red,Zip Up Hoodie,Gold Cuban,Septum Piercing,Reading Glasses,5 o'clock,0
1396,613,Turquoise,Male,Shade 4,None,Winter Hat,Hat,Black,Zip Up Hoodie,Pearl Necklace,Vape,Future Shades,Stache,2374
1397,4078,Mauve,Male,Shade 1,None,None,Top Dreads,Red,White Tee,None,Cigarette,None,None,0
1398,1447,Yellow,Female,Shade 5,None,None,Buzzed Braids,Platinum,Collard Tee,Black Choker,Hay,Gold Piercings,None,798
1399,2783,Mauve,Male,Shade 6,None,Sweatband,Hat,Brown,White Tee,None,Hydration Pack,None,Half Goat,0
1400,2864,Sand,Male,Shade 1,None,None,Crew Cut,Red,Hoodie,Gold Cuban,Cigarette,Reading Glasses,None,313
1401,3714,Blue,Female,Shade 1,None,None,Mohawk,Brown,Collard Tee,None,None,Bridge Piercing,None,0
1402,322,Pine,Female,Shade 3,None,Forwards Cap,Hat,Blue,White Tee,Pink Choker,Hydration Pack,Bridge Piercing,None,4145
1403,1494,Blue,Male,Shade 7,None,None,Shaggy,Platinum,Zip Up Hoodie,Black Choker,Quellazaire,Future Shades,Quarter Goat,0
1404,340,Light Purple,Male,Shade 3,None,Bucket Hat,Hat,Brown,Leather Jacket,Pearl Necklace,Hay,Cyborg Glasses,5 o'clock,6103
1405,880,Turquoise,Male,Shade 6,None,Sweatband,Hat,Green,White Tee,Black Choker,Snake Bites,Eyepatch,None,6019
1406,3860,Yellow,Female,Shade 1,None,None,Buzzed Braids,Brown,Button up,None,Pipe,None,None,2896
1407,4093,Orange,Female,Shade 1,None,None,Mullet,Blonde,Festival Top,None,None,None,None,3783
1408,3069,Orange,Female,Shade 2,None,None,Spikey,Brown,Turtleneck,None,Vape,Eyepatch,None,0
1409,1467,Turquoise,Male,Shade 6,None,None,Bald,Black,Dirty Tee,Black Choker,Cigarette,Bridge Piercing,Pencil Jaw,11268
1410,1432,Pink,Male,Shade 5,None,Beanie,Hat,Brown,Turtleneck,None,Surgical Mask,Silver Piercings,Dapper Stache,0
1411,202,Mauve,Female,Shade 2,Emo Lover Tats,Winter Hat,Hat,Platinum,White Tee,Gold Cuban,None,Eyepatch,None,0
1412,175,Green,Female,Shade 1,Street Tats,Winter Hat,Hat,Brown,Ripped Up Tee,Black Choker,None,Bridge Piercing,None,1195
1413,3094,Deco,Male,Shade 6,None,None,Mohawk,Blonde,Shirtless,None,Blunt,Designer Shades 2,5 o'clock,4197
1414,4607,Deco,Male,Shade 2,None,None,Bald,Blonde,Zip Up Hoodie,None,None,None,None,1258
1415,3479,Sand,Male,Shade 6,None,None,Buzzed Braids,Brown,Rags,None,Blunt,Reading Glasses,None,6200
1416,2344,Blue,Male,Shade 7,None,None,Bowl Cut,Red,Cut Off Sleeves,Black Choker,None,Bridge Piercing,Pencil Jaw,0
1417,3528,Blue,Male,Shade 5,None,None,Mullet,Blonde,Ripped Up Tee,None,None,Sunglasses,Quarter Goat,0
1418,3510,Blue,Female,Shade 2,None,None,Bowl Cut,Blonde,Button up,None,Cigarette,Designer Shades 2,None,0
1419,2271,Deco,Female,Shade 1,None,None,Bowl Cut,Red,White Tee,Gold Cuban,Snake Bites,Gold Piercings,None,0
1420,1057,Deco,Female,Shade 4,None,Forwards Cap,Hat,Brown,Zip Up Hoodie,Gold Cuban,Hay,Bridge Piercing,None,0
1421,3872,Sand,Female,Shade 6,None,None,Buzzed Braids,Black,White Tank,None,Pipe,None,None,2299
1422,2138,Turquoise,Female,Shade 6,None,None,Bowl Cut,Blonde,Camo Tee,Silver Cuban,Septum Piercing,Gold Piercings,None,0
1423,3537,Light Purple,Male,Shade 3,None,None,Crew Cut,Platinum,Rags,None,Pipe,Reading Glasses,None,0
1424,4275,Green,Female,Shade 7,None,None,Top Dreads,Red,Button up,None,None,None,None,3048
1425,2629,Pine,Female,Shade 6,None,None,Mullet,Platinum,Ripped Up Tee,Pearl Necklace,None,Designer Shades 2,None,344
1426,2477,Yellow,Male,Shade 5,None,None,Crew Cut,Black,White Tee,Black Choker,Surgical Mask,Silver Piercings,None,0
1427,536,Turquoise,Female,Shade 6,None,Sweatband,Hat,Red,Camo Tee,Pink Choker,Wizard Pipe,Sunglasses,None,686
1428,1030,Yellow,Male,Shade 4,None,Backwards Hat,Hat,Platinum,Ripped Up Tee,Pearl Necklace,None,Silver Piercings,Full Goat,35
1429,82,Deco,Female,Shade 3,Street Tats,Bucket Hat,Hat,Platinum,Ripped Up Tee,Pink Choker,Surgical Mask,Designer Shades,None,3648
1430,4147,Deco,Female,Shade 1,None,None,Mohawk,Blonde,Festival Top,None,None,None,None,11219
1431,2235,Light Purple,Female,Shade 1,None,None,Mohawk,Brown,White Tee,Black Choker,Blunt,Bridge Piercing,None,4884
1432,4619,Sand,Male,Shade 1,None,None,Top Dreads,Platinum,White Tank,None,None,None,None,0
1433,2952,Blue,Male,Shade 2,None,None,Buzzed Braids,Blonde,Shirtless,None,Cigarette,Designer Shades 2,Sideburns,3695
1434,4936,Light Purple,Male,Shade 2,None,None,Crew Cut,Black,Hoodie,None,None,None,None,3219
1435,3540,Pink,Male,Shade 2,None,None,Bowl Cut,Platinum,White Tee,Gold Cuban,Blunt,None,None,941
1436,3971,Green,Female,Shade 2,None,None,Shoulder Length,Brown,Rags,None,None,None,None,1781
1437,531,Sand,Male,Shade 3,None,Forwards Cap,Hat,Black,Collard Tee,Pink Choker,Cigarette,Designer Shades 2,Lined Up Soul Patch,1673
1438,1605,Mauve,Male,Shade 7,None,None,Top Dreads,Platinum,Camo Tee,Silver Cuban,Vape,Steampunk Shades,Quarter Goat,0
1439,3184,Sand,Female,Shade 6,None,None,Shoulder Length,Blonde,White Tank,Silver Cuban,Vape,None,None,0
1440,1334,Turquoise,Male,Shade 7,None,Sweatband,Hat,Red,Camo Tee,Pearl Necklace,Pipe,None,Chinstrap,0
1441,247,Orange,Male,Shade 2,None,Trucker Hat,Hat,Green,Collard Tee,Black Choker,Hay,Designer Shades,Lined Up Soul Patch,3625
1442,182,Orange,Male,Shade 7,Lazy Boy Tats,Forwards Cap,Hat,Brown,Hawaiian Shirt,None,Hay,Gold Piercings,Half Goat,1621
1443,3007,Blue,Male,Shade 1,None,None,Mohawk,Red,Turtleneck,None,Pipe,Steampunk Shades,Quarter Goat,0
1444,963,Lavender,Male,Shade 3,None,Backwards Hat,Hat,Red,Dirty Tee,Bling,Respirator Mask,None,Full Goat,1805
1445,3824,Mauve,Female,Shade 4,None,None,Mohawk,Platinum,Hoodie,None,None,Reading Glasses,None,0
1446,805,Yellow,Male,Shade 6,None,Beanie,Hat,Brown,White Tee,Black Choker,Cigarette,Steampunk Shades,Chinstrap,0
1447,2365,Orange,Male,Shade 7,None,Backwards Hat,Hat,Red,Rags,None,Blunt,Eyepatch,None,5971
1448,438,Sand,Female,Shade 6,None,Cowboy Hat,Hat,Blue,Hoodie,Gold Cuban,Wizard Pipe,Silver Piercings,None,2838
1449,2686,Light Purple,Male,Shade 3,None,None,Bowl Cut,Black,Button up,Silver Cuban,None,Bridge Piercing,Quarter Goat,86
1450,2604,Lavender,Female,Shade 5,None,None,Mohawk,Brown,Hoodie,Gold Cuban,Cigarette,Designer Shades 2,None,0
1451,2406,Lavender,Male,Shade 4,None,None,Mohawk,Blonde,Zip Up Hoodie,Silver Cuban,Pipe,Designer Shades 2,5 o'clock,3298
1452,3721,Blue,Male,Shade 6,None,None,Mullet,Black,White Tank,None,Blunt,Reading Glasses,None,0
1453,2449,Lavender,Female,Shade 3,None,None,Bowl Cut,Platinum,Hoodie,Gold Cuban,Septum Piercing,Reading Glasses,None,2610
1454,3347,Pink,Female,Shade 3,None,None,Mohawk,Brown,Button up,Silver Cuban,Pipe,None,None,0
1455,2715,Pine,Female,Shade 2,None,Forwards Cap,Hat,Brown,Striped Tee,None,None,Silver Piercings,None,6139
1456,4627,Turquoise,Male,Shade 7,None,None,Bald,Black,White Tee,None,None,None,None,5947
1457,3515,Light Purple,Male,Shade 3,None,None,Top Dreads,Platinum,Shirtless,None,Vape,Designer Shades 2,None,4162
1458,2769,Pine,Female,Shade 1,None,None,Crew Cut,Black,Leather Jacket,Pink Choker,Pipe,None,None,0
1459,1284,Blue,Female,Shade 3,None,Beanie,Hat,Blonde,Leather Jacket,Pearl Necklace,None,Bridge Piercing,None,5053
1460,1906,Pink,Female,Shade 2,None,Forwards Cap,Hat,Brown,Dirty Tee,None,Surgical Mask,Silver Piercings,None,0
1461,1362,Green,Female,Shade 1,None,Beanie,Hat,Blonde,Cut Off Sleeves,Black Choker,None,Designer Shades,None,1943
1462,578,Light Purple,Male,Shade 4,None,Winter Hat,Hat,Brown,Collard Tee,Silver Cuban,Cigarette,Future Shades,Dapper Stache,2754
1463,261,Blue,Male,Shade 4,None,Trucker Hat,Hat,Rainbow,Collard Tee,Black Choker,Cigarette,Sunglasses,Lined Up Soul Patch,0
1464,2896,Pine,Male,Shade 4,None,None,Mullet,Red,Camo Tee,None,Septum Piercing,Bridge Piercing,Full Goat,0
1465,4011,Pine,Female,Shade 3,None,None,Shaggy,Red,Dress,None,None,None,None,1980
1466,621,Blue,Male,Shade 6,None,Beanie,Hat,Brown,Cut Off Sleeves,Silver Cuban,Surgical Mask,Designer Shades,Quarter Goat,0
1467,188,Light Purple,Male,Shade 1,Street Tats,Sweatband,Hat,Blonde,Ripped Up Tee,None,Wizard Pipe,Sunglasses,Sideburns,0
1468,54,Deco,Male,Shade 3,Lazy Boy Tats,Trucker Hat,Hat,Brown,Hoodie,Bling,Hay,Future Shades,Chinstrap,0
1469,826,Lavender,Female,Shade 7,None,Bucket Hat,Hat,Red,Dirty Tee,Black Choker,Pipe,Future Shades,None,0
1470,4790,Sand,Male,Shade 3,None,None,Bowl Cut,Black,White Tee,None,None,None,None,2547
1471,4794,Green,Male,Shade 7,None,None,Top Dreads,Red,White Tee,None,None,None,None,539
1472,2102,Turquoise,Male,Shade 7,None,None,Mullet,Brown,Hoodie,Gold Cuban,Snake Bites,Reading Glasses,Half Goat,5081
1473,2254,Turquoise,Male,Shade 6,None,None,Mohawk,Black,White Tank,Pink Choker,Wizard Pipe,Designer Shades,None,3269
1474,809,Pink,Male,Shade 4,None,Backwards Hat,Hat,Blonde,Ripped Up Tee,Silver Cuban,Cigarette,Reading Glasses,Chinstrap,0
1475,2186,Lavender,Male,Shade 5,None,None,Mullet,Red,Button up,Silver Cuban,Cigarette,Designer Shades 2,Chinstrap,0
1476,2888,Orange,Male,Shade 1,None,None,Dreads,Black,Turtleneck,None,Surgical Mask,Designer Shades 2,Half Goat,1610
1477,2134,Orange,Male,Shade 3,None,Horns,Hat,Red,Striped Tee,Silver Cuban,Surgical Mask,None,None,3883
1478,1375,Mauve,Female,Shade 5,None,None,Buzzed Braids,Brown,Camo Tee,Pearl Necklace,Snake Bites,Cyborg Glasses,None,6031
1479,2110,Yellow,Male,Shade 2,None,None,Bowl Cut,Rainbow,Dirty Tee,Silver Cuban,Surgical Mask,None,Handlebars,349
1480,3808,Orange,Male,Shade 6,None,None,Buzzed Braids,Red,White Tee,None,Pipe,None,5 o'clock,3439
1481,3469,Turquoise,Male,Shade 7,None,None,Mohawk,Brown,Button up,Gold Cuban,None,Designer Shades 2,None,2892
1482,3864,Orange,Male,Shade 2,None,None,Bald,Blonde,Shirtless With Tats,None,Cigarette,None,None,235
1483,2542,Pink,Male,Shade 1,None,None,Dreads,Platinum,Hoodie,Black Choker,None,Steampunk Shades,5 o'clock,6233
1484,4580,Green,Male,Shade 6,None,None,Bald,Platinum,Zip Up Hoodie,None,None,None,None,0
1485,4073,Blue,Male,Shade 4,None,None,Shaggy,Black,Button up,None,Cigarette,None,None,3652
1486,2272,Green,Male,Shade 7,None,Backwards Hat,Hat,Red,Hoodie,Gold Cuban,None,Eyepatch,None,540
1487,1710,Lavender,Female,Shade 6,None,Beanie,Hat,Platinum,Dress,None,Quellazaire,Eyepatch,None,4926
1488,2907,Green,Male,Shade 2,None,None,Shaggy,Black,Zip Up Hoodie,Silver Cuban,Cigarette,Reading Glasses,None,0
1489,806,Lavender,Male,Shade 7,None,Winter Hat,Hat,Brown,Hoodie,Silver Cuban,Hay,Steampunk Shades,5 o'clock,0
1490,1471,Turquoise,Male,Shade 1,None,Sweatband,Hat,Platinum,Cut Off Sleeves,None,Quellazaire,Sunglasses,Pencil Jaw,635
1491,495,Turquoise,Male,Shade 2,None,Winter Hat,Hat,Red,Striped Tee,Pink Choker,Blunt,Reading Glasses,Sideburns,1387
1492,1423,Sand,Female,Shade 6,None,None,Shaggy,Platinum,Dirty Tee,Pearl Necklace,Hydration Pack,Eyepatch,None,4033
1493,1867,Sand,Male,Shade 4,None,Forwards Cap,Hat,Brown,Turtleneck,None,Blunt,Designer Shades 2,Chinstrap,11265
1494,1889,Deco,Male,Shade 4,None,None,Crew Cut,Red,White Tank,Black Choker,Cigarette,Designer Shades,Pencil Jaw,1908
